Player,Hold_Count,sRE24,sTmRDiff,aTmRDiff,a_aLI,sIR,aIR,TmRS,sWPA,aWPA,sIP,aIP,sH,aH,sR,aR,sER,aER,sUER,aUER,sHR,aHR,sBB,aBB,sIBB,aIBB,s_SO,aSO,sHBP,aHBP,sBK,aBK,sWP,aWP,sBF,aBF,sBR,aBR,sIS,aIS,Hold_n_Loss,5+_Holds,Team,BONUS,ERA,FIP,K/9,BB/9,BAA,OBP,WHIP,RA9,Team_Sit_Player,SV,BS,MY_STATs_FINALLY,xHOLDS,is_xHolds_M/L_Holds,Teams_Holds,Better_xHolds,player_id
Chris Murphy,2,0.05,2,1,1.225,2,1,,0.131,0.0655,3  2/3 ,1  5/6 ,2,1,0,0,0,0,0,0,0,0,1,0.5,0,0,3,1.5,0,0,0,0,0,0,15,7.5,3,1.5,2,1,0,FALSE,BOS,,0,2.316818182,0.333333333,0.111111111,0.133333333,0.2,0.818181818,0,159,0,0,,1.874213836,FALSE,86,1.932918239,669684
Brennan Bernardino,2,0.03,6,3,2.76,2,1,,-0.002,-0.001,  2/3 ,  1/3 ,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,4,2,2,1,0,0,0,FALSE,BOS,,0,0.135,0.111111111,0,0.5,0.5,3,0,159,1,0,,1.874213836,FALSE,86,1.932918239,657514
Michael Soroka,1,0.25,2,2,0.85,0,0,,0.042,0.042,  2/3 ,  2/3 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,FALSE,CHC,,0,3.135,0,0,0,0,0,0,174,0,0,,0.856321839,FALSE,110,0.883143678,647336
Drew Pomeranz,14,5.97,30,2.142857143,1.465714286,5,0.357142857,,0.95,0.067857143,11  2/3 ,  5/6 ,6,0.428571429,0,0,0,0,0,0,0,0,1,0.071428571,0,0,14,1,0,0,0,0,0,0,42,3,7,0.5,0,0,0,TRUE,CHC,,0,0.992142857,1.555555556,0.111111111,0.142857143,0.166666667,0.6,0,174,1,2,,11.98850575,FALSE,110,12.36401149,519141
Caleb Thielbar,25,8.38,51,2.04,1.2468,9,0.36,,1.553,0.06212,22  2/3 , 68/75,9,0.36,5,0.2,5,0.2,0,0,1,0.04,5,0.2,0,0,22,0.88,0,0,0,0,0,0,79,3.16,14,0.56,1,0.04,0,TRUE,CHC,,1.985294118,2.429117647,2.444444444,0.555555556,0.113924051,0.17721519,0.617647059,1.985294118,174,1,3,,21.40804598,FALSE,110,22.07859195,573204
Porter Hodge,8,2.49,20,2.5,1.35875,0,0,,0.396,0.0495,7  1/3 , 11/12,5,0.625,1,0.125,0,0,1,0.125,0,0,2,0.25,0,0,10,1.25,0,0,0,0,2,0.25,29,3.625,7,0.875,0,0,0,TRUE,CHC,,0,1.225909091,1.111111111,0.222222222,0.172413793,0.24137931,0.954545455,1.227272727,174,2,3,,6.850574713,FALSE,110,7.065149425,687863
Brad Keller,25,9.97,47,1.88,1.7764,3,0.12,,1.987,0.07948,24  1/3 , 73/75,11,0.44,1,0.04,0,0,1,0.04,0,0,12,0.48,0,0,30,1.2,1,0.04,0,0,1,0.04,97,3.88,25,1,2,0.08,0,TRUE,CHC,,0,2.271986301,3.333333333,1.333333333,0.113402062,0.24742268,0.945205479,0.369863014,174,3,3,,21.40804598,FALSE,110,22.07859195,641745
Ben Brown,1,0.06,-4,-4,1.98,0,0,,0.002,0.002,1  1/3 ,1  1/3 ,1,1,2,2,2,2,0,0,0,0,2,2,0,0,3,3,0,0,0,0,2,2,7,7,3,3,0,0,1,FALSE,CHC,,13.5,3.135,0.333333333,0.222222222,0.142857143,0.428571429,2.25,13.5,174,1,1,,0.856321839,FALSE,110,0.883143678,676962
Ryan Brasier,4,-1.59,4,1,1.2075,2,0.5,,-0.013,-0.00325,3  1/3 ,  5/6 ,5,1.25,5,1.25,5,1.25,0,0,1,0.25,1,0.25,0,0,0,0,0,0,0,0,0,0,15,3.75,6,1.5,0,0,0,FALSE,CHC,,13.5,7.935,0,0.111111111,0.333333333,0.4,1.8,13.5,174,0,0,,3.425287356,FALSE,110,3.532574713,518489
Taylor Rogers,10,1.76,24,2.4,1.263,3,0.3,,0.285,0.0285,7  1/3 , 11/15,5,0.5,0,0,0,0,0,0,0,0,3,0.3,0,0,6,0.6,0,0,0,0,0,0,28,2.8,8,0.8,2,0.2,0,TRUE,CHC,,0,2.725909091,0.666666667,0.333333333,0.178571429,0.285714286,1.090909091,0,174,0,1,,8.563218391,FALSE,110,8.831436782,573124
