Player,Hold_Count,sRE24,sTmRDiff,aTmRDiff,a_aLI,sIR,aIR,TmRS,sWPA,aWPA,sIP,aIP,sH,aH,sR,aR,sER,aER,sUER,aUER,sHR,aHR,sBB,aBB,sIBB,aIBB,s_SO,aSO,sHBP,aHBP,sBK,aBK,sWP,aWP,sBF,aBF,sBR,aBR,sIS,aIS,Hold_n_Loss,5+_Holds,Team,BONUS,ERA,FIP,K/9,BB/9,BAA,OBP,WHIP,RA9,Team_Sit_Player,SV,BS,MY_STATs_FINALLY,xHOLDS,is_xHolds_M/L_Holds,Teams_Holds,Better_xHolds,player_id
Steven Okert,10,-1.22,14,1.4,1.674,8,0.8,,0.033,0.0033,8  2/3 , 13/15,12,1.2,5,0.5,5,0.5,0,0,2,0.2,5,0.5,0,0,11,1.1,0,0,0,0,0,0,41,4.1,17,1.7,4,0.4,0,TRUE,HOU,,5.192307692,5.327307692,1.222222222,0.555555556,0.292682927,0.414634146,1.961538462,5.192307692,151,1,1,,9.867549669,FALSE,89,10.17662252,595345
Bryan King,27,9.59,60,2.222222222,1.477407407,6,0.222222222,,1.737,0.064333333,27      ,1      ,22,0.814814815,5,0.185185185,5,0.185185185,0,0,1,0.037037037,3,0.111111111,0,0,24,0.888888889,2,0.074074074,0,0,2,0.074074074,106,3.925925926,28,1.037037037,0,0,0,TRUE,HOU,,1.666666667,2.394259259,2.666666667,0.333333333,0.20754717,0.254716981,0.925925926,1.666666667,151,2,3,,26.64238411,FALSE,89,27.47688079,687911
Kaleb Ort,3,1.28,10,3.333333333,0.813333333,1,0.333333333,,0.149,0.049666667,2  1/3 ,  7/9 ,1,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,8,2.666666667,1,0.333333333,0,0,0,FALSE,HOU,,0,0.563571429,0.333333333,0,0.125,0.125,0.428571429,0,151,1,0,,2.960264901,FALSE,89,3.052986755,672391
Bennett Sousa,7,4.17,14,2,1.391428571,3,0.428571429,,0.689,0.098428571,7  2/3 ,1  2/21,1,0.142857143,0,0,0,0,0,0,0,0,2,0.285714286,0,0,9,1.285714286,0,0,0,0,0,0,25,3.571428571,3,0.428571429,0,0,0,TRUE,HOU,,0,1.569782609,1,0.222222222,0.04,0.12,0.391304348,0,151,4,2,,6.907284768,FALSE,89,7.123635762,656986
Bryan Abreu,25,14.41,50,2,1.8188,13,0.52,,2.68,0.1072,27      ,1  2/25,11,0.44,1,0.04,1,0.04,0,0,1,0.04,13,0.52,0,0,37,1.48,1,0.04,0,0,2,0.08,105,4.2,26,1.04,1,0.04,0,TRUE,HOU,,0.333333333,2.431296296,4.111111111,1.444444444,0.104761905,0.238095238,0.888888889,0.333333333,151,7,5,,24.66887417,FALSE,89,25.44155629,650556
Luis Contreras,1,-0.96,-1,-1,0.95,2,2,,-0.034,-0.034,  2/3 ,  2/3 ,1,1,3,3,3,3,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,5,5,3,3,0,0,0,FALSE,HOU,,40.5,9.135,0.111111111,0.222222222,0.2,0.6,4.5,40.5,151,0,0,,0.986754967,FALSE,89,1.017662252,664351
Jonathan Bowlan,2,1.04,4,2,2.255,1,0.5,,0.237,0.1185,1  2/3 ,  5/6 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,4,2,0,0,0,0,0,FALSE,KCR,,0,1.935,0.111111111,0,0,0,0,0,156,0,0,,1.91025641,FALSE,89,1.970089744,680742
John Schreiber,23,7.38,51,2.217391304,1.676086957,20,0.869565217,,1.425,0.061956522,18      , 18/23,12,0.52173913,3,0.130434783,2,0.086956522,1,0.043478261,0,0,1,0.043478261,0,0,16,0.695652174,0,0,0,0,0,0,67,2.913043478,13,0.565217391,3,0.130434783,0,TRUE,KCR,,1,1.523888889,1.777777778,0.111111111,0.179104478,0.194029851,0.722222222,1.5,156,1,4,,21.96794872,FALSE,89,22.65603205,670167
Ángel Zerpa,14,1.91,26,1.857142857,1.78,8,0.571428571,,0.414,0.029571429,10  2/3 , 16/21,11,0.785714286,3,0.214285714,3,0.214285714,0,0,0,0,6,0.428571429,0,0,10,0.714285714,0,0,0,0,1,0.071428571,46,3.285714286,17,1.214285714,1,0.071428571,0,TRUE,KCR,,2.53125,2.9475,1.111111111,0.666666667,0.239130435,0.369565217,1.59375,2.53125,156,0,4,,13.37179487,FALSE,89,13.79062821,672582
Steven Cruz,9,3.38,26,2.888888889,1.215555556,0,0,,0.637,0.070777778,11      ,1  2/9 ,6,0.666666667,2,0.222222222,2,0.222222222,0,0,1,0.111111111,1,0.111111111,0,0,9,1,0,0,0,0,0,0,40,4.444444444,7,0.777777778,0,0,0,TRUE,KCR,,1.636363636,2.953181818,1,0.111111111,0.15,0.175,0.636363636,1.636363636,156,0,0,,8.596153846,FALSE,89,8.865403846,674444
Taylor Clarke,5,1.97,8,1.6,1.552,1,0.2,,0.366,0.0732,4      ,  4/5 ,1,0.2,0,0,0,0,0,0,0,0,1,0.2,0,0,3,0.6,0,0,0,0,0,0,14,2.8,2,0.4,0,0,0,TRUE,KCR,,0,2.385,0.333333333,0.111111111,0.071428571,0.142857143,0.5,0,156,1,1,,4.775641026,FALSE,89,4.925224359,664199
Michael Lorenzen,1,0.49,2,2,0.92,0,0,,0.069,0.069,1      ,1      ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,3,0,0,0,0,0,FALSE,KCR,,0,1.135,0.111111111,0,0,0,0,0,156,0,0,,0.955128205,FALSE,89,0.985044872,547179
Lucas Erceg,22,9,48,2.181818182,1.602727273,4,0.181818182,,1.843,0.083772727,21  2/3 , 65/66,13,0.590909091,2,0.090909091,2,0.090909091,0,0,1,0.045454545,2,0.090909091,0,0,16,0.727272727,2,0.090909091,0,0,1,0.045454545,77,3.5,17,0.772727273,1,0.045454545,0,TRUE,KCR,,0.830769231,2.811923077,1.777777778,0.222222222,0.168831169,0.220779221,0.692307692,0.830769231,156,2,5,,21.01282051,FALSE,89,21.67098718,668674
Daniel Lynch IV,7,1.4,8,1.142857143,2.208571429,3,0.428571429,,0.247,0.035285714,6      ,  6/7 ,7,1,3,0.428571429,3,0.428571429,0,0,0,0,1,0.142857143,0,0,2,0.285714286,2,0.285714286,0,0,0,0,27,3.857142857,10,1.428571429,1,0.142857143,0,TRUE,KCR,,4.5,3.968333333,0.222222222,0.111111111,0.259259259,0.37037037,1.333333333,4.5,156,1,0,,6.685897436,FALSE,89,6.895314103,663738
Sam Long,1,-1.3,3,3,0.61,2,2,,0.012,0.012,1      ,1      ,3,3,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,3,3,0,0,0,FALSE,KCR,,18,3.135,0,0,0.5,0.5,3,18,156,0,0,,0.955128205,FALSE,89,0.985044872,669674
Hunter Harvey,5,2.37,16,3.2,1.896,3,0.6,,0.379,0.0758,3  2/3 , 11/15,3,0.6,0,0,0,0,0,0,0,0,0,0,0,0,4,0.8,0,0,0,0,0,0,14,2.8,3,0.6,0,0,0,TRUE,KCR,,0,0.953181818,0.444444444,0,0.214285714,0.214285714,0.818181818,0,156,0,0,,4.775641026,FALSE,89,4.925224359,640451
José Fermín,6,0.52,15,2.5,1.308333333,0,0,,0.182,0.030333333,5  1/3 ,  8/9 ,2,0.333333333,3,0.5,3,0.5,0,0,1,0.166666667,3,0.5,0,0,5,0.833333333,0,0,0,0,0,0,20,3.333333333,5,0.833333333,0,0,0,TRUE,LAA,,5.0625,5.385,0.555555556,0.333333333,0.1,0.25,0.9375,5.0625,154,0,4,,5.805194805,FALSE,82,5.987025974,820862
Luis García,12,4.86,27,2.25,1.46,2,0.166666667,,0.734,0.061166667,12  1/3 ,1  1/36,9,0.75,1,0.083333333,1,0.083333333,0,0,0,0,4,0.333333333,0,0,12,1,0,0,0,0,3,0.25,44,3.666666667,13,1.083333333,0,0,0,TRUE,LAA,,0.72972973,2.162027027,1.333333333,0.444444444,0.204545455,0.295454545,1.054054054,0.72972973,154,2,1,,11.61038961,FALSE,82,11.97405195,472610
Chase Silseth,1,-0.5,1,1,1.43,0,0,,-0.028,-0.028,1      ,1      ,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,5,5,2,2,0,0,0,FALSE,LAA,,9,4.135,0.111111111,0,0.2,0.4,1,9,154,0,0,,0.967532468,FALSE,82,0.997837662,681217
Brock Burke,15,6.22,20,1.333333333,1.71,3,0.2,,1.143,0.0762,12  2/3 , 38/45,5,0.333333333,2,0.133333333,2,0.133333333,0,0,0,0,4,0.266666667,1,0.066666667,8,0.533333333,2,0.133333333,1,0.066666667,0,0,49,3.266666667,11,0.733333333,0,0,0,TRUE,LAA,,1.421052632,3.292894737,0.888888889,0.444444444,0.102040816,0.224489796,0.710526316,1.421052632,154,0,5,,14.51298701,FALSE,82,14.96756494,656271
Andrew Chafin,4,2.08,9,2.25,1.9275,2,0.5,,0.347,0.08675,3  1/3 ,  5/6 ,2,0.5,0,0,0,0,0,0,0,0,1,0.25,0,0,7,1.75,0,0,0,0,2,0.5,13,3.25,3,0.75,0,0,0,FALSE,LAA,,0,-0.165,0.777777778,0.111111111,0.153846154,0.230769231,0.9,0,154,0,0,,3.87012987,FALSE,82,3.991350649,605177
Reid Detmers,13,6.69,35,2.692307692,1.394615385,3,0.230769231,,0.942,0.072461538,13      ,1      ,9,0.692307692,0,0,0,0,0,0,0,0,3,0.230769231,0,0,15,1.153846154,0,0,0,0,1,0.076923077,49,3.769230769,12,0.923076923,0,0,0,TRUE,LAA,,0,1.519615385,1.666666667,0.333333333,0.183673469,0.244897959,0.923076923,0,154,3,5,,12.57792208,FALSE,82,12.97188961,672282
Connor Brogdon,4,0.99,8,2,2.235,2,0.5,,0.377,0.09425,3      ,  3/4 ,2,0.5,1,0.25,1,0.25,0,0,1,0.25,0,0,0,0,1,0.25,0,0,0,0,0,0,11,2.75,2,0.5,0,0,0,FALSE,LAA,,3,6.801666667,0.111111111,0,0.181818182,0.181818182,0.666666667,3,154,0,0,,3.87012987,FALSE,82,3.991350649,641401
Ryan Zeferjahn,17,1.97,35,2.058823529,1.544705882,5,0.294117647,,0.429,0.025235294,15      , 15/17,14,0.823529412,6,0.352941176,6,0.352941176,0,0,2,0.117647059,9,0.529411765,0,0,15,0.882352941,2,0.117647059,0,0,1,0.058823529,67,3.941176471,25,1.470588235,0,0,0,TRUE,LAA,,3.6,5.068333333,1.666666667,1,0.208955224,0.373134328,1.533333333,3.6,154,2,5,,16.44805195,FALSE,82,16.96324026,666171
José Quijada,1,-0.41,2,2,1.28,0,0,,-0.048,-0.048,  1/3 ,  1/3 ,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,FALSE,LAA,,0,12.135,0,0.111111111,0.333333333,0.666666667,6,0,154,0,0,,0.967532468,FALSE,82,0.997837662,650671
Sam Bachman,2,-1.51,1,0.5,3.67,3,1.5,,-0.091,-0.0455,1      ,  1/2 ,2,1,3,1.5,3,1.5,0,0,0,0,2,1,0,0,2,1,1,0.5,0,0,0,0,8,4,5,2.5,2,1,1,FALSE,LAA,,27,8.135,0.222222222,0.222222222,0.25,0.625,4,27,154,0,2,,1.935064935,FALSE,82,1.995675325,696147
Héctor Neris,7,-1.76,12,1.714285714,1.401428571,5,0.714285714,,0.028,0.004,4      ,  4/7 ,4,0.571428571,2,0.285714286,2,0.285714286,0,0,1,0.142857143,1,0.142857143,0,0,6,0.857142857,0,0,0,0,2,0.285714286,17,2.428571429,5,0.714285714,2,0.285714286,0,TRUE,LAA,,4.5,4.135,0.666666667,0.111111111,0.235294118,0.294117647,1.25,4.5,154,0,2,,6.772727273,FALSE,82,6.984863636,593576
Hunter Strickland,2,1.49,5,2.5,2.77,4,2,,0.267,0.1335,1  1/3 ,  2/3 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,FALSE,LAA,,0,3.135,0,0,0,0,0,0,154,1,1,,1.935064935,FALSE,82,1.995675325,519326
Shaun Anderson,1,-1.01,5,5,2.18,2,2,,-0.194,-0.194,1  1/3 ,1  1/3 ,3,3,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,7,7,4,4,0,0,0,FALSE,LAA,,6.75,15.135,0,0.111111111,0.428571429,0.571428571,3,6.75,154,0,1,,0.967532468,FALSE,82,0.997837662,641312
Ryan Johnson,1,0.43,3,3,1.26,2,2,,0.033,0.033,  1/3 ,  1/3 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,FALSE,LAA,,0,-2.865,0.111111111,0,0,0,0,0,154,1,2,,0.967532468,FALSE,82,0.997837662,696270
Ben Joyce,2,1.22,5,2.5,1.875,1,0.5,,0.227,0.1135,2  1/3 ,1  1/6 ,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,1,0.5,0,0,0,0,1,0.5,8,4,1,0.5,0,0,0,FALSE,LAA,,0,3.563571429,0.111111111,0.111111111,0,0.125,0.428571429,0,154,0,2,,1.935064935,FALSE,82,1.995675325,690829
Ian Anderson,1,0.51,2,2,1.42,0,0,,0.109,0.109,1      ,1      ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,3,3,0,0,0,0,0,FALSE,LAA,,0,-0.865,0.222222222,0,0,0,0,0,154,0,1,,0.967532468,FALSE,82,0.997837662,666120
Garrett McDaniels,1,-2.06,2,2,3.59,0,0,,-0.365,-0.365,  1/3 ,  1/3 ,1,1,3,3,2,2,1,1,0,0,2,2,0,0,1,1,0,0,0,0,1,1,4,4,3,3,0,0,0,FALSE,LAA,,54,15.135,0.111111111,0.222222222,0.25,0.75,9,81,154,0,0,,0.967532468,FALSE,82,0.997837662,680729
Anthony Banda,12,5.16,26,2.166666667,1.906666667,5,0.416666667,,0.962,0.080166667,10  1/3 , 31/36,9,0.75,1,0.083333333,1,0.083333333,0,0,0,0,4,0.333333333,3,0.25,10,0.833333333,0,0,0,0,0,0,43,3.583333333,13,1.083333333,0,0,0,TRUE,LAD,,0.870967742,2.360806452,1.111111111,0.444444444,0.209302326,0.302325581,1.258064516,0.870967742,201,0,1,,8.895522388,FALSE,128,9.174149254,607455
Will Klein,2,1.11,3,1.5,1.115,0,0,,0.161,0.0805,2  2/3 ,1  1/3 ,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,4,2,0,0,0,0,0,0,9,4.5,1,0.5,0,0,0,FALSE,LAD,,0,1.26,0.444444444,0.111111111,0,0.111111111,0.375,0,201,0,0,,1.482587065,FALSE,128,1.529024876,694361
Roki Sasaki,2,0.98,2,1,1.145,0,0,,0.16,0.08,2      ,1      ,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,7,3.5,1,0.5,0,0,0,FALSE,LAD,,0,-0.865,0.444444444,0,0.142857143,0.142857143,0.5,0,201,0,0,,1.482587065,FALSE,128,1.529024876,808963
Blake Treinen,10,2.55,20,2,2.15,4,0.4,,0.502,0.0502,8  2/3 , 13/15,6,0.6,1,0.1,1,0.1,0,0,0,0,5,0.5,0,0,11,1.1,1,0.1,0,0,0,0,38,3.8,12,1.2,1,0.1,0,TRUE,LAD,,1.038461538,2.673461538,1.222222222,0.555555556,0.157894737,0.315789474,1.269230769,1.038461538,201,2,3,,7.412935323,FALSE,128,7.645124378,595014
Alex Vesia,26,5.97,68,2.615384615,1.841153846,16,0.615384615,,1.294,0.049769231,20  2/3 , 31/39,8,0.307692308,7,0.269230769,7,0.269230769,0,0,2,0.076923077,7,0.269230769,1,0.038461538,31,1.192307692,4,0.153846154,0,0,1,0.038461538,78,3,19,0.730769231,1,0.038461538,0,TRUE,LAD,,3.048387097,2.98983871,3.444444444,0.777777778,0.102564103,0.243589744,0.725806452,3.048387097,201,5,4,,19.27363184,FALSE,128,19.87732338,681911
Edgardo Henriquez,5,-0.85,12,2.4,1.364,3,0.6,,-0.009,-0.0018,3      ,  3/5 ,4,0.8,1,0.2,1,0.2,0,0,1,0.2,1,0.2,0,0,3,0.6,0,0,0,0,1,0.2,13,2.6,5,1,2,0.4,0,TRUE,LAD,,3,6.468333333,0.333333333,0.111111111,0.307692308,0.384615385,1.666666667,3,201,1,2,,3.706467662,FALSE,128,3.822562189,683618
Justin Wrobleski,7,3.39,16,2.285714286,1.511428571,4,0.571428571,,0.427,0.061,10      ,1  3/7 ,9,1.285714286,3,0.428571429,3,0.428571429,0,0,0,0,3,0.428571429,0,0,17,2.428571429,0,0,0,0,0,0,41,5.857142857,12,1.714285714,0,0,1,TRUE,LAD,,2.7,0.635,1.888888889,0.333333333,0.219512195,0.292682927,1.2,2.7,201,2,0,,5.189054726,FALSE,128,5.351587065,680736
Kirby Yates,15,0.12,37,2.466666667,1.55,6,0.4,,0.447,0.0298,11  2/3 ,  7/9 ,9,0.6,3,0.2,3,0.2,0,0,3,0.2,6,0.4,0,0,14,0.933333333,1,0.066666667,0,0,0,0,50,3.333333333,16,1.066666667,3,0.2,0,TRUE,LAD,,2.314285714,5.877857143,1.555555556,0.666666667,0.18,0.32,1.285714286,2.314285714,201,3,2,,11.11940299,FALSE,128,11.46768657,489446
Michael Kopech,6,-0.02,12,2,1.666666667,2,0.333333333,,-0.001,-0.000166667,4  1/3 , 13/18,2,0.333333333,1,0.166666667,1,0.166666667,0,0,0,0,6,1,0,0,5,0.833333333,0,0,1,0.166666667,2,0.333333333,21,3.5,8,1.333333333,1,0.166666667,0,TRUE,LAD,,2.076923077,4.981153846,0.555555556,0.666666667,0.095238095,0.380952381,1.846153846,2.076923077,201,0,0,,4.447761194,FALSE,128,4.587074627,656629
Jack Dreyer,10,2.09,27,2.7,1.455,0,0,,0.373,0.0373,8  1/3 ,  5/6 ,6,0.6,2,0.2,1,0.1,1,0.1,0,0,4,0.4,0,0,5,0.5,0,0,0,0,0,0,35,3.5,10,1,0,0,0,TRUE,LAD,,1.08,3.375,0.555555556,0.444444444,0.171428571,0.285714286,1.2,2.16,201,4,1,,7.412935323,FALSE,128,7.645124378,676263
Ben Casparius,13,7.42,26,2,1.918461538,8,0.615384615,,1.202,0.092461538,16      ,1  3/13,8,0.615384615,1,0.076923077,1,0.076923077,0,0,0,0,3,0.230769231,0,0,18,1.384615385,2,0.153846154,0,0,0,0,60,4.615384615,13,1,0,0,0,TRUE,LAD,,0.5625,1.8225,2,0.333333333,0.133333333,0.216666667,0.6875,0.5625,201,2,0,,9.63681592,FALSE,128,9.938661692,676508
Brock Stewart,16,5.38,45,2.8125,1.574375,4,0.25,,0.85,0.053125,13  2/3 , 41/48,10,0.625,2,0.125,2,0.125,0,0,0,0,3,0.1875,1,0.0625,18,1.125,2,0.125,0,0,0,0,56,3.5,15,0.9375,0,0,0,TRUE,LAD,,1.317073171,1.598414634,2,0.333333333,0.178571429,0.267857143,0.951219512,1.317073171,201,0,1,,11.86069652,FALSE,128,12.232199,592779
Tanner Scott,8,1.98,18,2.25,1.28,5,0.625,,0.437,0.054625,6  2/3 ,  5/6 ,1,0.125,2,0.25,2,0.25,0,0,0,0,3,0.375,0,0,7,0.875,1,0.125,0,0,1,0.125,25,3.125,5,0.625,0,0,0,TRUE,LAD,,2.7,2.835,0.777777778,0.333333333,0.04,0.2,0.6,2.7,201,23,10,,5.930348259,FALSE,128,6.116099502,656945
Lou Trivino,5,-0.15,13,2.6,1.546,2,0.4,,0.166,0.0332,5  2/3 ,1  2/15,9,1.8,3,0.6,2,0.4,1,0.2,0,0,2,0.4,1,0.2,3,0.6,0,0,1,0.2,0,0,27,5.4,11,2.2,0,0,0,TRUE,LAD,,3.176470588,3.135,0.333333333,0.222222222,0.333333333,0.407407407,1.941176471,4.764705882,201,0,1,,3.706467662,FALSE,128,3.822562189,642152
Evan Phillips,2,0.56,0,0,2.67,1,0.5,,0.167,0.0835,1      ,  1/2 ,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,3,1.5,0,0,0,0,0,0,4,2,1,0.5,0,0,0,FALSE,LAD,,0,-2.865,0.333333333,0,0.25,0.25,1,0,201,1,0,,1.482587065,FALSE,128,1.529024876,623465
Ronny Henriquez,26,11.17,69,2.653846154,1.548461538,9,0.346153846,,1.967,0.075653846,27      ,1  1/26,17,0.653846154,3,0.115384615,3,0.115384615,0,0,2,0.076923077,6,0.230769231,0,0,36,1.384615385,1,0.038461538,0,0,1,0.038461538,105,4.038461538,24,0.923076923,1,0.038461538,0,TRUE,MIA,,1,2.209074074,4,0.666666667,0.161904762,0.228571429,0.851851852,1,147,7,4,,26.3537415,TRUE,85,27.17919728,678692
Michael Petersen,2,0.73,3,1.5,1.17,0,0,,0.13,0.065,1  2/3 ,  5/6 ,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,2,1,0,0,0,0,0,0,6,3,1,0.5,0,0,0,FALSE,MIA,,0,2.535,0.222222222,0.111111111,0,0.166666667,0.6,0,147,0,1,,2.027210884,TRUE,85,2.090707483,656848
Tyler Phillips,8,5.59,21,2.625,1.18,1,0.125,,0.794,0.09925,11  1/3 ,1  5/12,6,0.75,0,0,0,0,0,0,0,0,3,0.375,0,0,7,0.875,0,0,0,0,0,0,41,5.125,9,1.125,0,0,0,TRUE,MIA,,0,2.693823529,0.777777778,0.333333333,0.146341463,0.219512195,0.794117647,0,147,4,0,,8.108843537,TRUE,85,8.362829932,663969
Cade Gibson,5,1.9,13,2.6,1.112,4,0.8,,0.275,0.055,5      ,1      ,1,0.2,1,0.2,1,0.2,0,0,1,0.2,0,0,0,0,7,1.4,0,0,0,0,0,0,16,3.2,1,0.2,0,0,0,TRUE,MIA,,1.8,2.935,0.777777778,0,0.0625,0.0625,0.2,1.8,147,0,2,,5.068027211,TRUE,85,5.226768707,806188
Calvin Faucher,7,1.05,14,2,1.642857143,0,0,,0.217,0.031,6  1/3 , 19/21,7,1,2,0.285714286,2,0.285714286,0,0,1,0.142857143,4,0.571428571,0,0,7,1,0,0,0,0,0,0,29,4.142857143,11,1.571428571,0,0,0,TRUE,MIA,,2.842105263,4.871842105,0.777777778,0.444444444,0.24137931,0.379310345,1.736842105,2.842105263,147,15,5,,7.095238095,TRUE,85,7.31747619,676534
Josh Simpson,2,-0.69,2,1,2.71,1,0.5,,-0.041,-0.0205,  2/3 ,  1/3 ,2,1,1,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,5,2.5,3,1.5,0,0,0,FALSE,MIA,,13.5,7.635,0,0,0.4,0.6,3,13.5,147,0,2,,2.027210884,TRUE,85,2.090707483,681006
Tyler Zuber,1,0.19,1,1,1.6,0,0,,0.041,0.041,  2/3 ,  2/3 ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,3,1,1,0,0,0,FALSE,MIA,,0,0.135,0.111111111,0,0.333333333,0.333333333,1.5,0,147,0,0,,1.013605442,TRUE,85,1.045353741,676604
Lake Bachar,6,1.37,9,1.5,1.283333333,3,0.5,,0.332,0.055333333,7  1/3 ,1  2/9 ,2,0.333333333,1,0.166666667,1,0.166666667,0,0,1,0.166666667,4,0.666666667,0,0,5,0.833333333,0,0,0,0,0,0,27,4.5,6,1,2,0.333333333,0,TRUE,MIA,,1.227272727,5.180454545,0.555555556,0.444444444,0.074074074,0.222222222,0.818181818,1.227272727,147,3,1,,6.081632653,TRUE,85,6.272122449,669199
Anthony Bender,19,6.32,33,1.736842105,1.546842105,4,0.210526316,,1.278,0.067263158,18  2/3 , 56/57,11,0.578947368,3,0.157894737,3,0.157894737,0,0,0,0,5,0.263157895,1,0.052631579,13,0.684210526,0,0,0,0,1,0.052631579,72,3.789473684,17,0.894736842,0,0,0,TRUE,MIA,,1.446428571,2.545714286,1.444444444,0.555555556,0.152777778,0.222222222,0.857142857,1.446428571,147,4,3,,19.2585034,TRUE,85,19.86172109,669622
Valente Bellozo,1,0.49,-1,-1,2.4,0,0,,0.087,0.087,1      ,1      ,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,2,0,0,0,FALSE,MIA,,0,3.135,0,0,0.5,0.5,2,0,147,0,0,,1.013605442,TRUE,85,1.045353741,678368
Jesús Tinoco,4,1.97,11,2.75,2.0725,4,1,,0.369,0.09225,4  1/3 ,1  1/12,4,1,2,0.5,2,0.5,0,0,0,0,2,0.5,0,0,1,0.25,0,0,0,0,0,0,18,4.5,6,1.5,0,0,0,FALSE,MIA,,4.153846154,4.058076923,0.111111111,0.222222222,0.222222222,0.333333333,1.384615385,4.153846154,147,4,2,,4.054421769,TRUE,85,4.181414966,622786
Anthony Veneziano,4,-1.73,-1,-0.25,1.8225,3,0.75,,-0.205,-0.05125,2  1/3 ,  7/12,3,0.75,2,0.5,2,0.5,0,0,0,0,2,0.5,0,0,1,0.25,0,0,0,0,0,0,12,3,5,1.25,2,0.5,0,FALSE,MIA,,7.714285714,4.849285714,0.111111111,0.222222222,0.25,0.416666667,2.142857143,7.714285714,147,0,1,,4.054421769,TRUE,85,4.181414966,685107
Aaron Ashby,6,2.68,9,1.5,1.303333333,0,0,,0.426,0.071,7  2/3 ,1  5/18,5,0.833333333,1,0.166666667,1,0.166666667,0,0,0,0,3,0.5,0,0,14,2.333333333,0,0,0,0,0,0,31,5.166666667,8,1.333333333,0,0,0,TRUE,MIL,,1.173913043,0.65673913,1.555555556,0.333333333,0.161290323,0.258064516,1.043478261,1.173913043,173,3,0,,5.167630058,FALSE,107,5.329491329,676879
Jared Koenig,27,5.09,66,2.444444444,1.314074074,3,0.111111111,,1.304,0.048296296,24  1/3 , 73/81,21,0.777777778,8,0.296296296,8,0.296296296,0,0,4,0.148148148,3,0.111111111,0,0,23,0.851851852,0,0,0,0,0,0,95,3.518518519,25,0.925925926,1,0.037037037,0,TRUE,MIL,,2.95890411,3.751438356,2.555555556,0.333333333,0.221052632,0.252631579,0.98630137,2.95890411,173,2,2,,23.25433526,FALSE,107,23.98271098,657649
Chad Patrick,1,0.51,2,2,1.67,0,0,,0.071,0.071,1      ,1      ,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,0,0,4,4,1,1,0,0,0,FALSE,MIL,,0,2.135,0.222222222,0.111111111,0,0.25,1,0,173,0,0,,0.861271676,FALSE,107,0.888248555,694477
Nick Mears,17,6.94,31,1.823529412,2.089411765,17,1,,1.272,0.074823529,13  2/3 , 41/51,10,0.588235294,3,0.176470588,3,0.176470588,0,0,1,0.058823529,2,0.117647059,1,0.058823529,12,0.705882353,0,0,0,0,1,0.058823529,52,3.058823529,12,0.705882353,1,0.058823529,0,TRUE,MIL,,1.975609756,2.769146341,1.333333333,0.222222222,0.192307692,0.230769231,0.87804878,1.975609756,173,1,6,,14.6416185,FALSE,107,15.10022543,683232
Abner Uribe,37,11.47,82,2.216216216,1.604054054,6,0.162162162,,2.466,0.066648649,36  1/3 , 54/55,25,0.675675676,4,0.108108108,4,0.108108108,0,0,0,0,14,0.378378378,1,0.027027027,46,1.243243243,1,0.027027027,1,0.027027027,2,0.054054054,143,3.864864865,41,1.108108108,4,0.108108108,0,TRUE,MIL,,0.990825688,1.841422018,5.111111111,1.555555556,0.174825175,0.27972028,1.073394495,0.990825688,173,7,2,,31.86705202,FALSE,107,32.86519653,682842
Erick Fedde,1,0.19,3,3,2,0,0,,0.032,0.032,  2/3 ,  2/3 ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,0,0,0,FALSE,MIL,,0,3.135,0,0,0.333333333,0.333333333,1.5,0,173,0,0,,0.861271676,FALSE,107,0.888248555,607200
